date,open,close,low,high,volume,change,h1,h2,h3,dea,dif,macd,k,d,j,qsddS,qsddM,qsddL,wrS,wrM,wrL,label1
2009-08-28,2938.42,2860.69,2843.11,2949.43,123048496,-0.02908973662774913,2926.439,3064.692,2864.518,-57.575,-79.884,-44.617,47.503,41.059,60.391,19.407,24.813,39.172,13.856,13.856,44.168,2667.75
2009-08-31,2817.63,2667.75,2663.0,2817.63,118246248,-0.06744526670139024,2852.528,3042.359,2860.908,-65.796,-98.681,-65.77,32.132,38.083,20.229,0.801,19.877,33.991,0.59,0.583,25.151,2683.72
2009-09-01,2649.17,2683.72,2639.76,2727.08,98042584,0.005990088989181862,2804.297,3017.3,2857.656,-74.839,-111.01,-72.342,25.434,33.867,8.569,8.609,14.316,29.413,5.636,5.244,21.872,2714.97
2009-09-02,2681.33,2714.97,2669.22,2729.71,83934712,0.011644284798712237,2778.775,2992.192,2855.038,-83.254,-116.912,-67.316,23.822,30.519,10.429,14.857,9.269,25.629,10.237,8.972,23.064,2845.02
2009-09-03,2722.3,2845.02,2715.62,2854.16,129890256,0.04790108177990924,2797.702,2971.72,2854.855,-88.569,-109.829,-42.52,34.619,31.886,40.087,53.945,8.493,23.453,30.722,24.487,32.617,2861.61
2009-09-04,2841.17,2861.61,2827.58,2875.98,128889936,0.005827706561969443,2815.962,2955.324,2854.978,-91.196,-101.704,-21.017,43.85,35.874,59.802,60.758,13.057,21.592,35.033,26.466,34.383,2881.12
2009-09-07,2877.62,2881.12,2860.0,2919.35,131182808,0.006817840306680422,2834.578,2942.614,2855.458,-91.481,-92.623,-2.285,51.83,41.192,73.105,66.101,19.236,19.818,39.167,28.793,36.46,2930.48
2009-09-08,2865.7,2930.48,2831.85,2931.23,127929384,0.017132226356416994,2861.979,2934.126,2856.835,-89.288,-80.516,17.544,62.378,48.254,90.626,79.619,25.393,19.767,56.937,34.682,41.714,2946.26
2009-09-09,2944.17,2946.26,2900.11,2962.29,130754496,0.005384783380197169,2886.059,2929.066,2858.476,-85.201,-68.854,32.695,73.262,56.59,106.606,83.94,30.117,19.602,60.544,36.564,43.394,2924.88
2009-09-10,2934.96,2924.88,2911.21,2958.95,105894864,-0.007256657593016267,2897.151,2925.707,2859.694,-80.288,-60.637,39.302,78.309,63.83,107.266,78.085,32.57,20.407,74.933,34.014,41.118,2989.79
2009-09-11,2917.19,2989.79,2915.9,2999.33,123246664,0.022192363447389243,2923.619,2925.487,2862.081,-73.897,-48.331,51.132,84.655,70.771,112.421,97.347,35.134,22.577,95.862,41.757,48.028,3026.74
2009-09-14,2990.93,3026.74,2984.83,3033.08,143711216,0.012358727536047621,2953.082,2928.392,2865.102,-66.156,-35.191,61.93,89.189,76.911,113.746,98.388,38.19,24.329,98.388,46.165,51.961,3033.73
2009-09-15,3029.1,3033.73,2999.43,3050.43,144467760,0.002309415410639909,2976.124,2933.416,2868.196,-57.712,-23.937,67.549,91.13,81.65,110.089,95.933,40.929,26.625,95.933,46.999,52.705,2999.71
2009-09-16,3027.51,2999.71,2960.59,3028.56,147415776,-0.01121391817993031,2982.863,2938.621,2870.609,-49.682,-17.562,64.241,86.5,83.267,92.966,87.649,43.35,27.782,87.649,42.941,49.084,3060.26
2009-09-17,3015.59,3060.26,3015.59,3064.23,160740400,0.02018528457750922,3004.977,2945.606,2874.089,-41.253,-7.536,67.434,90.431,85.655,99.982,99.065,45.516,28.958,99.065,50.164,55.53,2962.67
2009-09-18,3063.31,2962.67,2940.83,3068.03,168076592,-0.031889447301863286,2992.889,2950.583,2875.715,-34.478,-7.38,54.196,78.75,83.353,69.544,75.399,45.612,29.281,75.399,38.522,45.141,2967.01
2009-09-21,2937.93,2967.01,2871.65,2968.7,136231984,0.0014648948414775,2985.495,2954.258,2877.39,-28.948,-6.828,44.241,68.687,78.464,49.131,74.67,43.72,30.227,76.412,39.04,45.603,2897.55
2009-09-22,2956.13,2897.55,2896.94,2982.9,124074704,-0.0234107738093232,2960.368,2954.901,2877.76,-25.53,-11.858,27.344,50.187,69.039,12.484,51.625,41.547,30.452,60.193,30.753,38.209,2842.72
2009-09-23,2897.81,2842.72,2825.86,2924.2,107626360,-0.018922883125399175,2926.754,2951.938,2877.117,-24.432,-20.038,8.787,35.779,57.952,-8.568,6.962,37.493,30.547,47.391,24.212,32.372,2853.55
2009-09-24,2824.58,2853.55,2783.11,2886.26,102541320,0.0038097315247370062,2905.839,2947.086,2876.684,-24.616,-25.355,-1.477,32.093,49.333,-2.385,24.723,33.861,31.502,49.919,25.504,30.001,2838.84
2009-09-25,2836.7,2838.84,2812.92,2864.07,75167600,-0.0051549823903558846,2886.696,2940.729,2875.99,-25.774,-30.405,-9.261,27.916,42.194,-0.64,19.56,32.037,33.126,46.485,23.749,27.795,2763.52
2009-09-28,2844.37,2763.52,2752.77,2857.95,71874584,-0.026531963759845626,2851.503,2931.337,2873.926,-28.624,-40.023,-22.798,19.747,34.711,-10.182,3.41,29.407,33.907,23.645,14.764,14.764,2754.54
2009-09-29,2763.76,2754.54,2712.3,2779.69,73565536,-0.0032494789254284458,2823.799,2920.017,2871.736,-32.463,-47.819,-30.712,17.123,28.849,-6.329,11.874,27.143,34.618,11.874,13.693,13.693,2779.43
2009-09-30,2772.57,2779.43,2763.71,2803.86,64833256,0.009035991490412147,2811.122,2908.554,2870.042,-36.25,-51.397,-30.294,17.706,25.134,2.848,18.871,25.949,34.781,18.871,16.662,16.662,2911.72
2009-10-09,2840.13,2911.72,2834.62,2912.55,85546560,0.047596089845759734,2839.865,2901.324,2870.807,-37.612,-43.061,-10.898,36.369,28.879,51.348,56.059,29.406,36.73,56.059,32.444,32.444,2894.48
2009-10-12,2927.02,2894.48,2893.57,2932.08,88186632,-0.005917484914363043,2855.469,2896.497,2871.241,-37.572,-37.414,0.316,46.687,34.815,70.432,51.213,38.338,38.345,51.213,30.751,30.387,2936.19
2009-10-13,2889.79,2936.19,2886.96,2937.82,79997904,0.014410187667560335,2878.532,2894.606,2872.433,-35.905,-29.237,13.337,64.217,44.616,103.42,62.938,49.104,40.163,62.938,38.005,35.363,2970.53
2009-10-14,2945.67,2970.53,2943.74,3010.61,129630144,0.011695428429359184,2904.817,2895.681,2874.233,-32.676,-19.757,25.837,71.666,53.633,107.734,72.592,61.152,42.303,72.592,45.021,39.46,2979.79
2009-10-15,2994.89,2979.79,2967.11,3014.26,98617592,0.003117288833979042,2926.238,2898.897,2876.17,-28.414,-11.367,34.094,77.306,61.524,108.87,75.195,69.344,44.692,75.195,50.893,40.564,2976.63
2009-10-16,2992.75,2976.63,2931.92,3008.18,92222800,-0.0010604774161937097,2940.636,2903.291,2878.013,-23.714,-4.915,37.598,80.717,67.921,106.307,87.538,73.728,46.634,74.306,53.196,40.187,3038.27
2009-10-19,2974.64,3038.27,2962.31,3039.6,120615600,0.02070798184524105,2968.531,2910.158,2880.953,-17.949,5.112,46.122,87.009,74.284,112.459,99.594,79.105,49.102,91.634,64.669,47.541,3084.45
2009-10-20,3062.55,3084.45,3053.64,3084.94,143651184,0.015199439154518801,3001.651,2919.789,2884.687,-11.04,16.594,55.269,91.288,79.952,113.961,99.869,84.917,51.885,99.869,87.092,53.05,3070.59
